# roll pitch yaw tx ty tz
0.025416 -0.524087 -0.286676 -0.066220 -0.102756 0.375352
0.030950 -0.525136 -0.289061 -0.066074 -0.102865 0.375838
0.027525 -0.524264 -0.289293 -0.066398 -0.102996 0.375301
0.028976 -0.524021 -0.290898 -0.066549 -0.103097 0.375317
0.029612 -0.523932 -0.292444 -0.066734 -0.103070 0.375213
0.031429 -0.523808 -0.293975 -0.067003 -0.103243 0.375242
0.037130 -0.527668 -0.296959 -0.066959 -0.103357 0.375182
0.034229 -0.524249 -0.297543 -0.067616 -0.103453 0.375030
0.035201 -0.524254 -0.299166 -0.068030 -0.103757 0.374729
0.037550 -0.524482 -0.301518 -0.068456 -0.103939 0.374404
0.038896 -0.524567 -0.303442 -0.068864 -0.104208 0.373948
0.041038 -0.524485 -0.305794 -0.069414 -0.104482 0.373500
0.042912 -0.524405 -0.307955 -0.069980 -0.104776 0.373047
0.045266 -0.525100 -0.310457 -0.070521 -0.105054 0.372471
0.046947 -0.525274 -0.312776 -0.071120 -0.105367 0.371966
0.049550 -0.525014 -0.315450 -0.071762 -0.105564 0.371453
0.052387 -0.525601 -0.318377 -0.072378 -0.105631 0.370632
0.054639 -0.525095 -0.321018 -0.073062 -0.105637 0.369968
0.057736 -0.526074 -0.324232 -0.073712 -0.105641 0.369251
0.060406 -0.526089 -0.327257 -0.074266 -0.105499 0.368758
0.063552 -0.526575 -0.330413 -0.074678 -0.105189 0.368257
0.066516 -0.526445 -0.333617 -0.074973 -0.104680 0.368001
0.069382 -0.527049 -0.336930 -0.075231 -0.103945 0.367459
0.073008 -0.527207 -0.340594 -0.075391 -0.102981 0.367190
0.076307 -0.527232 -0.344264 -0.075451 -0.101633 0.366773
0.080701 -0.527318 -0.348212 -0.075440 -0.099966 0.366379
0.083656 -0.528074 -0.351756 -0.075354 -0.098025 0.365980
0.087289 -0.528078 -0.355450 -0.075410 -0.096008 0.365385
0.090963 -0.529125 -0.359598 -0.075411 -0.093923 0.364784
0.094580 -0.529424 -0.363316 -0.075457 -0.091803 0.364150
0.098309 -0.530120 -0.367454 -0.075669 -0.089675 0.363411
0.101526 -0.529938 -0.371172 -0.076053 -0.087527 0.362783
0.105258 -0.531488 -0.375376 -0.076558 -0.085436 0.361962
0.109141 -0.532048 -0.379363 -0.077095 -0.083342 0.361089
0.112650 -0.532981 -0.383537 -0.077604 -0.081436 0.359884
0.117705 -0.534577 -0.388303 -0.077880 -0.079571 0.358415
0.121576 -0.535680 -0.392523 -0.078087 -0.077661 0.357129
0.126325 -0.536589 -0.397099 -0.078167 -0.075769 0.355888
0.130952 -0.537436 -0.401726 -0.078078 -0.073701 0.354723
0.134800 -0.538517 -0.405851 -0.077863 -0.071463 0.353442
0.139728 -0.540578 -0.410638 -0.077451 -0.069230 0.351523
0.144127 -0.541461 -0.415057 -0.077183 -0.067166 0.349554
0.148230 -0.542690 -0.419345 -0.076856 -0.065393 0.347292
0.153297 -0.544021 -0.424061 -0.076461 -0.063717 0.344955
0.157385 -0.545296 -0.428385 -0.076357 -0.062059 0.343096
0.162652 -0.547292 -0.433270 -0.075991 -0.060382 0.340840
0.167811 -0.548592 -0.438080 -0.075644 -0.058604 0.338848
0.172912 -0.550636 -0.442790 -0.075045 -0.056800 0.336833
0.177700 -0.551849 -0.447279 -0.074395 -0.055269 0.335037
0.182345 -0.553565 -0.451804 -0.073748 -0.053853 0.333392
0.187546 -0.555526 -0.456385 -0.072926 -0.052548 0.331734
0.192338 -0.557061 -0.460891 -0.072485 -0.051537 0.330282
0.197740 -0.558697 -0.465617 -0.071970 -0.050650 0.328764
0.203122 -0.561185 -0.470358 -0.071148 -0.049813 0.327399
0.210935 -0.562457 -0.476174 -0.070101 -0.048717 0.326258
0.212933 -0.564491 -0.479230 -0.069137 -0.047766 0.325212
0.218604 -0.566993 -0.483806 -0.068362 -0.046935 0.324182
0.223222 -0.568715 -0.488159 -0.067719 -0.046239 0.323465
0.228369 -0.570893 -0.492571 -0.066939 -0.045470 0.322584
0.234062 -0.572974 -0.497103 -0.066133 -0.044777 0.321688
0.239230 -0.575215 -0.501323 -0.065405 -0.044131 0.320868
0.243494 -0.577637 -0.505419 -0.064789 -0.043427 0.320243
0.249813 -0.579559 -0.510039 -0.064193 -0.042617 0.319360
0.255019 -0.581827 -0.514108 -0.063670 -0.041876 0.318607
0.260459 -0.584035 -0.518279 -0.063235 -0.041223 0.317958
0.265917 -0.586389 -0.522469 -0.062825 -0.040634 0.317752
0.270558 -0.587983 -0.526189 -0.062583 -0.040055 0.317773
0.276467 -0.590750 -0.530502 -0.062499 -0.039582 0.317369
0.281681 -0.592684 -0.534452 -0.062393 -0.039052 0.317132
0.287140 -0.595835 -0.538446 -0.062284 -0.038491 0.317010
0.292459 -0.598754 -0.542262 -0.062088 -0.038044 0.316957
0.297430 -0.601615 -0.546025 -0.061699 -0.037699 0.317093
0.303263 -0.604861 -0.550014 -0.061228 -0.037415 0.317102
0.307901 -0.607466 -0.553395 -0.060826 -0.037252 0.317159
0.314037 -0.610216 -0.557590 -0.060479 -0.037000 0.316909
0.319347 -0.613375 -0.561246 -0.060015 -0.036925 0.316424
0.325179 -0.616429 -0.565174 -0.059432 -0.036716 0.316051
0.330789 -0.618960 -0.568915 -0.058740 -0.036302 0.315585
0.335543 -0.621685 -0.572197 -0.058036 -0.036002 0.315426
0.340456 -0.624031 -0.575366 -0.057530 -0.035666 0.315213
0.345846 -0.626623 -0.578755 -0.057057 -0.035463 0.314976
0.350726 -0.629234 -0.581690 -0.056612 -0.035285 0.314652
0.355617 -0.632132 -0.584677 -0.055964 -0.034979 0.314154
0.360225 -0.634857 -0.587624 -0.055397 -0.034579 0.313723
0.364934 -0.637492 -0.590340 -0.054956 -0.034149 0.312746
0.369949 -0.640372 -0.593204 -0.054663 -0.033894 0.311742
0.374659 -0.643055 -0.595912 -0.054563 -0.033568 0.310675
0.379588 -0.645569 -0.598794 -0.054527 -0.033223 0.309622
0.384256 -0.648736 -0.601454 -0.054560 -0.033030 0.308845
0.388410 -0.650620 -0.603680 -0.054565 -0.032782 0.308273
0.393352 -0.652984 -0.606427 -0.054322 -0.032506 0.307759
0.398111 -0.655571 -0.609101 -0.054261 -0.032278 0.307211
0.401908 -0.659410 -0.611199 -0.054077 -0.032131 0.306479
0.406891 -0.661543 -0.613905 -0.053964 -0.031828 0.306008
0.410774 -0.664349 -0.616159 -0.054046 -0.031598 0.305360
0.415165 -0.666580 -0.618292 -0.054089 -0.031382 0.304700
0.419354 -0.669647 -0.620557 -0.054116 -0.031242 0.303748
0.424034 -0.671744 -0.623053 -0.054004 -0.031159 0.302722
0.427983 -0.674042 -0.625173 -0.053655 -0.031112 0.302206
0.432381 -0.676269 -0.627494 -0.053240 -0.031110 0.301410
0.435929 -0.678712 -0.629353 -0.052635 -0.030944 0.300763
0.439299 -0.681300 -0.631127 -0.052064 -0.030779 0.299689
0.443292 -0.683272 -0.633213 -0.051394 -0.030684 0.298769
0.446559 -0.685857 -0.635032 -0.050644 -0.030454 0.298205
0.449892 -0.687570 -0.636734 -0.050026 -0.030168 0.297544
0.453358 -0.690440 -0.638500 -0.049300 -0.029938 0.296767
0.456196 -0.691813 -0.639994 -0.048622 -0.029558 0.295997
0.459067 -0.693911 -0.641401 -0.047975 -0.029348 0.295236
0.461918 -0.695661 -0.642942 -0.047287 -0.029057 0.294773
0.464706 -0.697781 -0.644380 -0.046594 -0.028832 0.294199
0.467405 -0.699202 -0.645712 -0.046027 -0.028579 0.293891
0.469674 -0.701172 -0.646938 -0.045564 -0.028379 0.293342
0.471645 -0.703399 -0.647880 -0.045218 -0.028319 0.293222
0.474024 -0.704841 -0.649114 -0.045144 -0.028276 0.292883
0.476103 -0.706616 -0.650192 -0.045041 -0.028236 0.292758
0.478723 -0.707290 -0.651418 -0.045094 -0.028259 0.292725
0.480569 -0.709072 -0.652275 -0.045196 -0.028428 0.292633
0.481597 -0.710795 -0.652510 -0.045285 -0.028612 0.292397
0.483764 -0.712091 -0.653712 -0.045236 -0.028697 0.292358
0.484574 -0.713285 -0.653876 -0.045242 -0.028619 0.292233
0.486315 -0.714644 -0.654657 -0.045219 -0.028444 0.292064
0.487356 -0.715379 -0.655161 -0.045329 -0.028259 0.292128
0.487452 -0.716714 -0.654787 -0.045445 -0.028176 0.292052
0.486852 -0.718075 -0.654258 -0.045593 -0.028178 0.292221
0.488017 -0.718939 -0.654923 -0.045750 -0.028109 0.292044
0.487196 -0.719895 -0.654198 -0.045994 -0.028014 0.291971
0.487688 -0.720511 -0.654183 -0.046263 -0.027874 0.291741
0.487370 -0.721513 -0.653823 -0.046547 -0.027822 0.291821
0.486604 -0.722166 -0.653240 -0.046821 -0.027738 0.291990
0.485818 -0.723059 -0.652558 -0.047083 -0.027760 0.291780
0.483978 -0.723751 -0.651571 -0.047375 -0.027757 0.291872
0.483011 -0.723767 -0.650592 -0.047606 -0.027665 0.291655
0.481613 -0.723999 -0.649837 -0.047868 -0.027567 0.291659
0.479916 -0.724716 -0.648546 -0.048038 -0.027654 0.291775
0.478049 -0.724739 -0.647549 -0.048219 -0.027722 0.292037
0.475437 -0.725617 -0.645771 -0.048365 -0.028000 0.292386
0.472955 -0.725345 -0.644127 -0.048536 -0.028240 0.292647
0.470282 -0.725913 -0.642553 -0.048753 -0.028503 0.292894
0.467077 -0.725465 -0.640486 -0.049151 -0.028871 0.293293
0.464085 -0.726034 -0.638603 -0.049471 -0.029274 0.293693
0.460332 -0.725427 -0.636088 -0.049754 -0.029653 0.294477
0.456598 -0.725881 -0.633845 -0.049977 -0.030057 0.295371
0.452858 -0.725393 -0.631487 -0.050202 -0.030521 0.296321
0.448547 -0.725459 -0.628617 -0.050484 -0.031108 0.297255
0.444171 -0.724787 -0.625784 -0.050758 -0.031630 0.298263
0.439938 -0.724413 -0.623147 -0.050965 -0.032117 0.298951
0.435359 -0.723819 -0.620105 -0.051173 -0.032632 0.299401
0.430229 -0.723103 -0.616958 -0.051467 -0.033146 0.299966
0.425703 -0.722161 -0.614123 -0.051717 -0.033619 0.300368
0.420180 -0.721490 -0.610513 -0.051889 -0.034141 0.300482
0.414972 -0.720791 -0.607434 -0.052007 -0.034644 0.300735
0.409827 -0.719488 -0.604014 -0.052068 -0.035052 0.300978
0.403321 -0.718892 -0.599931 -0.052093 -0.035527 0.301594
0.396947 -0.718538 -0.595897 -0.052059 -0.036005 0.301982
0.390987 -0.717187 -0.592060 -0.052003 -0.036445 0.302549
0.383856 -0.716263 -0.587679 -0.051997 -0.036967 0.303188
0.377250 -0.715210 -0.583575 -0.051924 -0.037401 0.303846
0.370902 -0.713988 -0.579519 -0.051802 -0.037856 0.304641
0.363793 -0.712526 -0.575160 -0.051587 -0.038271 0.305546
0.356422 -0.711218 -0.570431 -0.051239 -0.038606 0.306870
0.348568 -0.709868 -0.565445 -0.051123 -0.038959 0.308192
0.339703 -0.708119 -0.560000 -0.051117 -0.039397 0.309924
0.331224 -0.706368 -0.554435 -0.051212 -0.039899 0.311221
0.323377 -0.703999 -0.549646 -0.051609 -0.040457 0.312065
0.314794 -0.702887 -0.544107 -0.051948 -0.041162 0.312816
0.306436 -0.701265 -0.538703 -0.052420 -0.042001 0.313406
0.298429 -0.699371 -0.533658 -0.053058 -0.042838 0.314112
